,id,updated,confirmed,confirmed_change,deaths,deaths_change,recovered,recovered_change,load_time
284,81089996,2020-01-11,46849292,462389.0,1198942,5872.0,30944606.0,1107514.0,09:54.1
285,81390785,2020-02-11,47260377,411085.0,1204202,5260.0,31182478.0,237872.0,09:54.1
286,81710350,2020-03-11,47742312,481935.0,1211102,6900.0,31454401.0,271923.0,09:54.1
287,82042268,2020-04-11,48261898,519586.0,1219947,8845.0,31733172.0,278771.0,09:54.1
288,82376288,2020-05-11,49114225,852327.0,1227666,7719.0,32009347.0,276175.0,09:54.1
289,82703691,2020-06-11,49688351,574126.0,1239757,12091.0,32341811.0,332464.0,09:54.1
290,83015973,2020-07-11,50111147,422796.0,1248150,8393.0,32633711.0,291900.0,09:54.1
291,83326535,2020-08-11,50752354,641207.0,1253707,5557.0,32892365.0,258654.0,09:54.1
292,83586128,2020-09-11,51292597,540243.0,1261306,7599.0,33150116.0,257751.0,09:54.1
293,83908320,2020-10-11,51975458,682861.0,1269199,7893.0,33400848.0,250732.0,09:54.1
294,84249738,2020-11-11,52331462,356004.0,1281309,12110.0,33785432.0,384584.0,09:54.1
295,84537497,2020-12-11,53211792,880330.0,1287966,6657.0,34043712.0,258280.0,09:54.1
296,84838420,2020-11-13,53788566,576774.0,1300076,12110.0,34296757.0,253045.0,09:54.1
297,85176078,2020-11-14,54184358,395792.0,1308725,8649.0,34660180.0,363423.0,09:54.1
298,85510162,2020-11-15,54814867,630509.0,1314904,6179.0,34830992.0,170812.0,09:54.1
299,85789187,2020-11-16,55333374,518507.0,1322963,8059.0,35127472.0,296480.0,09:54.1
300,86107443,2020-11-17,56024130,690756.0,1332390,9427.0,35613120.0,485648.0,09:54.1
301,86374459,2020-11-18,56435244,411114.0,1345639,13249.0,35969240.0,356120.0,09:54.1
302,86750273,2020-11-19,57427358,992114.0,1352775,7136.0,36291080.0,321840.0,09:54.1
303,87043979,2020-11-20,57974667,547309.0,1369767,16992.0,36731430.0,440350.0,09:54.1
304,87347666,2020-11-21,58521493,546826.0,1378411,8644.0,37073704.0,342274.0,09:54.1
305,87637870,2020-11-22,59070488,548995.0,1386051,7640.0,37402009.0,328305.0,09:54.1
306,87914118,2020-11-23,59597658,527170.0,1394694,8643.0,37691380.0,289371.0,09:54.1
